"MODULES & LOOPS","LATENCY(CYCLES)","LATENCY(NS)","ITERATION LATENCY","INTERVAL","TRIP COUNT","PIPELINED","BRAM","DSP","FF","LUT","URAM"
"MultiSine (1)",389,3.890E3,"-",386,"-","loop auto-rewind stp (delay=2 clock cycles(s))",8,0,469,518,0
"VITIS_LOOP_58_1_VITIS_LOOP_61_2",387,3.870E3,5,1,384,"yes","-","-","-","-","-"
