"MODULES & LOOPS","LATENCY(CYCLES)","LATENCY(NS)","ITERATION LATENCY","INTERVAL","TRIP COUNT","PIPELINED","BRAM","DSP","FF","LUT","URAM"
"MultiSine (1)",389,3.890E3,"-",385,"-","loop auto-rewind stp (delay=1 clock cycles(s))",8,0,654,738,0
"VITIS_LOOP_46_1_VITIS_LOOP_49_2",387,3.870E3,5,1,384,"yes","-","-","-","-","-"
